time,CTPCBC_制动_空压机组1运行,CTPCBC_制动_空压机组2运行,BC1CT_制动_A1车B1架制动施加
2020-07-16 21:00:18.138,0.0,0.0,1.0
2020-07-16 21:00:18.769,0.0,0.0,1.0
2020-07-16 21:00:18.917,0.0,0.0,1.0
2020-07-16 21:00:19.487,0.0,0.0,1.0
2020-07-16 21:00:19.654,0.0,0.0,1.0
2020-07-16 21:00:20.250,0.0,0.0,1.0
2020-07-16 21:00:20.421,0.0,0.0,1.0
2020-07-16 21:00:21.008,0.0,0.0,1.0
2020-07-16 21:00:21.182,0.0,0.0,1.0
2020-07-16 21:00:21.737,0.0,0.0,1.0
2020-07-16 21:00:21.886,0.0,0.0,1.0
2020-07-16 21:00:22.485,0.0,0.0,1.0
2020-07-16 21:00:22.641,0.0,0.0,1.0
2020-07-16 21:00:23.236,0.0,0.0,1.0
2020-07-16 21:00:23.411,0.0,0.0,1.0
2020-07-16 21:00:23.977,0.0,0.0,1.0
2020-07-16 21:00:24.169,0.0,0.0,1.0
2020-07-16 21:00:24.743,0.0,0.0,1.0
2020-07-16 21:00:24.901,0.0,0.0,1.0
2020-07-16 21:00:25.497,0.0,0.0,1.0
2020-07-16 21:00:25.662,0.0,0.0,1.0
2020-07-16 21:00:26.256,0.0,0.0,1.0
2020-07-16 21:00:26.406,0.0,0.0,1.0
2020-07-16 21:00:26.995,0.0,0.0,1.0
2020-07-16 21:00:27.164,0.0,0.0,1.0
2020-07-16 21:00:27.736,0.0,0.0,1.0
2020-07-16 21:00:27.895,0.0,0.0,1.0
2020-07-16 21:00:28.488,0.0,0.0,1.0
2020-07-16 21:00:28.665,0.0,0.0,1.0
2020-07-16 21:00:29.243,0.0,0.0,1.0
2020-07-16 21:00:29.411,0.0,0.0,1.0
2020-07-16 21:00:29.994,0.0,0.0,1.0
2020-07-16 21:00:30.171,0.0,0.0,1.0
2020-07-16 21:00:30.748,0.0,0.0,1.0
2020-07-16 21:00:30.917,0.0,0.0,1.0
2020-07-16 21:00:31.481,0.0,0.0,1.0
2020-07-16 21:00:31.650,0.0,0.0,1.0
2020-07-16 21:00:32.252,0.0,0.0,1.0
2020-07-16 21:00:32.410,0.0,0.0,1.0
2020-07-16 21:00:33.015,0.0,0.0,1.0
2020-07-16 21:00:33.203,0.0,0.0,1.0
2020-07-16 21:00:33.747,0.0,0.0,1.0
2020-07-16 21:00:33.912,0.0,0.0,1.0
2020-07-16 21:00:34.510,0.0,0.0,1.0
2020-07-16 21:00:34.647,0.0,0.0,1.0
2020-07-16 21:00:35.227,0.0,0.0,1.0
2020-07-16 21:00:35.395,0.0,0.0,1.0
2020-07-16 21:00:35.988,0.0,0.0,1.0
2020-07-16 21:00:36.160,0.0,0.0,1.0
2020-07-16 21:00:36.759,0.0,0.0,1.0
2020-07-16 21:00:36.908,0.0,0.0,1.0
2020-07-16 21:00:37.507,0.0,0.0,1.0
2020-07-16 21:00:37.666,0.0,0.0,1.0
2020-07-16 21:00:38.246,0.0,0.0,1.0
2020-07-16 21:00:38.409,0.0,0.0,1.0
2020-07-16 21:00:38.994,0.0,0.0,1.0
2020-07-16 21:00:39.154,0.0,0.0,1.0
2020-07-16 21:00:39.731,0.0,0.0,1.0
2020-07-16 21:00:39.919,0.0,0.0,1.0
2020-07-16 21:00:40.506,0.0,0.0,1.0
2020-07-16 21:00:40.652,0.0,0.0,1.0
2020-07-16 21:00:41.231,0.0,0.0,1.0
2020-07-16 21:00:41.410,0.0,0.0,1.0
2020-07-16 21:00:41.993,0.0,0.0,1.0
2020-07-16 21:00:42.155,0.0,0.0,1.0
2020-07-16 21:00:42.734,0.0,0.0,1.0
2020-07-16 21:00:42.913,0.0,0.0,1.0
2020-07-16 21:00:43.482,0.0,0.0,1.0
2020-07-16 21:00:43.647,0.0,0.0,1.0
2020-07-16 21:00:44.276,0.0,0.0,1.0
2020-07-16 21:00:44.424,0.0,0.0,1.0
2020-07-16 21:00:45.002,0.0,0.0,1.0
2020-07-16 21:00:45.159,0.0,0.0,1.0
2020-07-16 21:00:45.743,0.0,0.0,1.0
2020-07-16 21:00:45.912,0.0,0.0,1.0
2020-07-16 21:00:46.526,0.0,0.0,1.0
2020-07-16 21:00:46.670,0.0,0.0,1.0
2020-07-16 21:00:47.263,0.0,0.0,1.0
2020-07-16 21:00:47.441,0.0,0.0,1.0
2020-07-16 21:00:47.992,0.0,0.0,1.0
2020-07-16 21:00:48.198,0.0,0.0,1.0
2020-07-16 21:00:48.755,0.0,0.0,1.0
2020-07-16 21:00:48.962,0.0,0.0,1.0
2020-07-16 21:00:49.503,0.0,0.0,1.0
2020-07-16 21:00:49.661,0.0,0.0,1.0
2020-07-16 21:00:50.241,0.0,0.0,1.0
2020-07-16 21:00:50.433,0.0,0.0,1.0
2020-07-16 21:00:50.995,0.0,0.0,1.0
2020-07-16 21:00:51.171,0.0,0.0,1.0
2020-07-16 21:00:51.740,0.0,0.0,1.0
2020-07-16 21:00:51.909,0.0,0.0,1.0
2020-07-16 21:00:52.489,0.0,0.0,1.0
2020-07-16 21:00:52.636,0.0,0.0,1.0
2020-07-16 21:00:53.245,0.0,0.0,1.0
2020-07-16 21:00:53.405,0.0,0.0,1.0
2020-07-16 21:00:53.999,0.0,0.0,1.0
2020-07-16 21:00:54.170,0.0,0.0,1.0
2020-07-16 21:00:54.754,0.0,0.0,1.0
2020-07-16 21:00:54.912,0.0,0.0,1.0
2020-07-16 21:00:55.500,0.0,0.0,1.0
2020-07-16 21:00:55.669,0.0,0.0,1.0
2020-07-16 21:00:56.256,0.0,0.0,1.0
2020-07-16 21:00:56.430,0.0,0.0,1.0
2020-07-16 21:00:56.982,0.0,0.0,1.0
2020-07-16 21:00:57.192,0.0,0.0,1.0
2020-07-16 21:00:57.768,0.0,0.0,1.0
2020-07-16 21:00:57.911,0.0,0.0,1.0
2020-07-16 21:00:58.476,0.0,0.0,1.0
2020-07-16 21:00:58.655,0.0,0.0,1.0
2020-07-16 21:00:59.253,0.0,0.0,1.0
2020-07-16 21:00:59.411,0.0,0.0,1.0
2020-07-16 21:00:59.998,0.0,0.0,1.0
2020-07-16 21:01:00.141,0.0,0.0,1.0
2020-07-16 21:01:00.763,0.0,0.0,1.0
2020-07-16 21:01:00.905,0.0,0.0,1.0
2020-07-16 21:01:01.510,0.0,0.0,1.0
2020-07-16 21:01:01.655,0.0,0.0,1.0
2020-07-16 21:01:02.254,0.0,0.0,1.0
2020-07-16 21:01:02.404,0.0,0.0,1.0
2020-07-16 21:01:02.999,0.0,0.0,1.0
2020-07-16 21:01:03.171,0.0,0.0,1.0
2020-07-16 21:01:03.756,0.0,0.0,1.0
2020-07-16 21:01:03.908,0.0,0.0,1.0
2020-07-16 21:01:04.491,0.0,0.0,1.0
2020-07-16 21:01:04.642,0.0,0.0,1.0
2020-07-16 21:01:05.295,0.0,0.0,1.0
2020-07-16 21:01:05.408,0.0,0.0,1.0
2020-07-16 21:01:06.011,0.0,0.0,1.0
2020-07-16 21:01:06.143,0.0,0.0,1.0
2020-07-16 21:01:06.743,0.0,0.0,1.0
2020-07-16 21:01:06.936,0.0,0.0,1.0
2020-07-16 21:01:07.488,0.0,0.0,1.0
2020-07-16 21:01:07.645,0.0,0.0,1.0
2020-07-16 21:01:08.280,0.0,0.0,1.0
2020-07-16 21:01:08.392,0.0,0.0,1.0
2020-07-16 21:01:08.991,0.0,0.0,1.0
2020-07-16 21:01:09.166,0.0,0.0,1.0
2020-07-16 21:01:09.725,0.0,0.0,1.0
2020-07-16 21:01:09.905,0.0,0.0,1.0
2020-07-16 21:01:10.480,0.0,0.0,1.0
2020-07-16 21:01:10.628,0.0,0.0,1.0
2020-07-16 21:01:11.236,0.0,0.0,1.0
2020-07-16 21:01:11.387,0.0,0.0,1.0
2020-07-16 21:01:11.990,0.0,0.0,1.0
2020-07-16 21:01:12.159,0.0,0.0,1.0
2020-07-16 21:01:12.766,0.0,0.0,1.0
2020-07-16 21:01:12.915,0.0,0.0,1.0
2020-07-16 21:01:13.493,0.0,0.0,1.0
2020-07-16 21:01:13.672,0.0,0.0,1.0
2020-07-16 21:01:14.252,0.0,0.0,1.0
2020-07-16 21:01:14.406,0.0,0.0,1.0
2020-07-16 21:01:15.012,0.0,0.0,1.0
2020-07-16 21:01:15.160,0.0,0.0,1.0
2020-07-16 21:01:15.757,0.0,0.0,1.0
2020-07-16 21:01:15.902,0.0,0.0,1.0
2020-07-16 21:01:16.495,0.0,0.0,1.0
2020-07-16 21:01:16.646,0.0,0.0,1.0
2020-07-16 21:01:17.257,0.0,0.0,1.0
2020-07-16 21:01:17.390,0.0,0.0,1.0
2020-07-16 21:01:17.994,0.0,0.0,1.0
2020-07-16 21:01:18.135,0.0,0.0,1.0
2020-07-16 21:01:18.776,0.0,0.0,1.0
2020-07-16 21:01:18.890,0.0,0.0,1.0
2020-07-16 21:01:19.505,0.0,0.0,1.0
2020-07-16 21:01:19.646,0.0,0.0,1.0
2020-07-16 21:01:20.244,0.0,0.0,1.0
2020-07-16 21:01:20.403,0.0,0.0,1.0
2020-07-16 21:01:20.993,0.0,0.0,1.0
2020-07-16 21:01:21.170,0.0,0.0,1.0
2020-07-16 21:01:21.743,0.0,0.0,1.0
2020-07-16 21:01:21.885,0.0,0.0,1.0
2020-07-16 21:01:22.491,0.0,0.0,1.0
2020-07-16 21:01:22.631,0.0,0.0,1.0
2020-07-16 21:01:23.251,0.0,0.0,1.0
2020-07-16 21:01:23.404,0.0,0.0,1.0
