brake,tratio,ratio
0.002777778,0.842222222,0.049444444
0.00422619,0.718511905,0.154583333
0.009826389,0.369791667,0.188645833
0.010925926,0.394222222,0.230074074
0.001666667,0.941282051,0.056282051
0.009751773,0.377801418,0.197340426
0.011031746,0.396111111,0.19718254
0.009886364,0.36530303,0.213484848
0.000833333,0.998030303,0.044090909
0,1,0.047083333
0.000518519,0.957222222,0.07637037
0.006538462,0.406190476,0.180805861
0.000595238,0.955416667,0.048988095
0.006631579,0.384438596,0.236298246
0.006742424,0.388219697,0.185833333
0.006734694,0.379812925,0.222091837
0.006992754,0.389221014,0.189311594
0.006560284,0.381329787,0.245975177
0.006985019,0.386367041,0.185355805
0.006702128,0.391223404,0.220212766
0.00657197,0.389753788,0.180795455
0.000614035,0.953157895,0.069035088
0.006754386,0.37922807,0.190561404
0.003541667,0.662152778,0.185590278
0.006904762,0.400805861,0.196739927
0.006283333,0.3589,0.2231
0.006818182,0.384318182,0.196022727
0.006959707,0.408901099,0.227802198
0.000541667,0.947583333,0.051375
0.006577061,0.372921147,0.220197133
0.007314815,0.407388889,0.205518519
0.010540541,0.93972973,0.048828829
0.010387597,0.386007752,0.179922481
0.000404762,0.97402381,0.054333333
0.000121212,0.999666667,0.042242424
0.002973856,0.806699346,0.104836601
0.009384058,0.384782609,0.17884058
0.009166667,0.380036232,0.173333333
0.010227273,0.382348485,0.175606061
0.007214286,0.376119048,0.182666667
0.002768817,0.679704301,0.147607527
0.006282051,0.380311355,0.156282051
0.006203704,0.362296296,0.182166667
0.006348315,0.394456929,0.166891386
0,1,0.039126984
0.00043379,0.979292237,0.074315068
3.03E-05,0.999909091,0.056939394
0.000251799,0.974460432,0.048609113
0.001721612,0.777820513,0.113131868
0.000289855,0.980289855,0.051521739
0.002022472,0.788033708,0.451928839
0.000289855,0.969359903,0.047475845
0.000231481,0.953715278,0.046527778
0.0015,0.996166667,0.074833333
0,1,0.159768519
0.000345238,0.959654762,0.047428571
0.006385965,0.379105263,0.164385965
0.006182796,0.39,0.165179211
0.006314815,0.380277778,0.155703704
0.006666667,0.373040293,0.178516484
0.003083333,0.687583333,0.139277778
0.006611111,0.392833333,0.158444444
0.009964539,0.377978723,0.177198582
0,1,0.029102564
0,0,0
0.000333333,0.994666667,0.187333333
0.005757576,0.673090909,0.123787879
0.005277778,0.687916667,0.161527778
0.009891304,0.367101449,0.177318841
0.009397163,0.371666667,0.187801418
0.006951754,0.379078947,0.190921053
0.006245421,0.374139194,0.195128205
0.002214612,0.745776256,0.149223744
0.00624031,0.384651163,0.190232558
0.001262626,0.939494949,0.101969697
0.000609756,0.979593496,0.047073171
0.00625817,0.356699346,0.199836601
0.031666667,0.305,0.225
0,0,0
0.006684588,0.384516129,0.213225806
0.006685393,0.364250936,0.216029963
0.006137821,0.346907051,0.197660256
0.003240741,0.703302469,0.17367284
0.006666667,0.404157303,0.206254682
0.006144781,0.374494949,0.177255892
0.006151203,0.381357388,0.18209622
0.006666667,0.358175439,0.202122807
0.000340376,0.954976526,0.042206573
0.006477663,0.362268041,0.218780069
0.000380117,0.977865497,0.045994152
0.006132686,0.334886731,0.222411003
0.006415771,0.37874552,0.197992832
0,1,0.047916667
0.021258503,0.39207483,0.15914966
0.009591837,0.390782313,0.152789116
0.009528986,0.387789855,0.177536232
0.000897436,0.976602564,0.039423077
0.009716312,0.366028369,0.172269504
0,1,0.288333333
0.009052288,0.432777778,0.180816993
0.001888889,0.872555556,0.155222222
0,0,0
0,0,0
0.000681818,0.944015152,0.053257576
0,0,0
0,0,0
0,0,0
0.000175439,0.998859649,0.037368421
0.002661692,0.700746269,0.155298507
0.006160131,0.382156863,0.175424837
0.005687135,0.382631579,0.18622807
0.005968254,0.401111111,0.176079365
0.006045752,0.354460784,0.190114379
0.006316667,0.39805,0.178666667
0.006357388,0.401185567,0.182972509
0.006649123,0.381210526,0.183929825
0.001769759,0.811752577,0.106563574
0.006166667,0.370383333,0.16395
0.006323024,0.385790378,0.18080756
0.000259259,0.980740741,0.054407407
0.00619281,0.422924837,0.192941176
0.00615873,0.372587302,0.181587302
0.006757246,0.372047101,0.173913043
0.000833333,0.980833333,0.037083333
5.21E-05,0.999947917,0.037135417
0.002333333,0.926333333,0.097
0.000441176,0.947156863,0.059313725
0.002083333,0.85,0.084166667
0,1,0
0,0,0
0,1,0.035740741
0,0,0
0,0,0
0.000833333,0.973888889,0.047222222
0,0,0
0.000666667,0.950142857,0.063571429
0.001515152,0.802424242,0.066666667
0,0,0
0,0,0
0.001428571,0.954206349,0.124206349
0,0,0
0,0,0
0,1,0.079166667
0.001875,0.814166667,0.067916667
0,0,0
0,0.902777778,0.093333333
0.000833333,0.998333333,0
0.000175439,0.999824561,0.04254386
0,0,0
0.00015625,0.996875,0.056666667
0,1,0.178888889
0,0,0
0.000185185,0.999814815,0.027962963
0.001333333,0.869,0.117833333
0.025189394,0.366060606,0.177651515
0,0,0
0.008095238,0.429642857,0.14202381
0.010037879,0.346666667,0.187424242
0.008106061,0.472272727,0.159090909
0,1,0.036666667
0.000416667,0.997083333,0.054166667
0,0,0
0.005,0.594074074,0.101851852
0.006803922,0.373333333,0.173764706
0.000194647,0.975596107,0.031508516
0,0,0
0.006007326,0.36043956,0.152930403
0.006280702,0.359035088,0.171701754
0.004705882,0.501960784,0.153823529
0,0,0
0.00625817,0.309656863,0.166683007
0.006702128,0.32356383,0.193794326
0,1,0.027222222
0.007068273,0.333995984,0.189497992
0.006111111,0.658333333,0.137222222
0.006340206,0.377938144,0.178522337
0.003918919,0.519864865,0.175495495
0.006611111,0.313074074,0.1855
0.00620462,0.312640264,0.161105611
0,0,0
0,1,0.032777778
0.000232843,0.968835784,0.040906863
0.006270627,0.312623762,0.161485149
0.006280702,0.366052632,0.180298246
